Sample ID,Treatment,Species,BW_Start,BW_End,Days,Day_Rate,Experiment
1,Pr,Acropora,26.19,39.71,236,0.057288136,Shikine
2,Pr,Acropora,39.906,64.687,236,0.105004237,Shikine
3,Pr,Acropora,18.432,35.001,236,0.070207627,Shikine
4,Pr,Acropora,25.976,32.445,236,0.027411017,Shikine
5,Pr,Acropora,33.24,57.048,236,0.100881356,Shikine
6,Pr,Acropora,17.574,33.259,236,0.066461864,Shikine
7,Pr,Porites,43.594,44.202,236,0.002576271,Shikine
8,Pr,Porites,50.964,45.743,236,-0.022122881,Shikine
9,Pr,Porites,26.372,24.409,236,-0.008317797,Shikine
10,Pr,Porites,30.572,31.284,236,0.003016949,Shikine
11,Pr,Porites,50.483,49.281,236,-0.00509322,Shikine
12,Pr,Porites,27.052,20.5,236,-0.027762712,Shikine
13,Pr,Porites,29.521,29.194,236,-0.001385593,Shikine
14,OA,Acropora,24.304,32.212,236,0.033508475,Shikine
15,OA,Acropora,23.8,23.582,236,-0.000923729,Shikine
16,OA,Acropora,24.894,30.126,236,0.022169492,Shikine
17,OA,Acropora,23.26,28.944,236,0.024084746,Shikine
18,OA,Acropora,46.767,56.493,236,0.041211864,Shikine
19,OA,Acropora,38.025,41.318,236,0.01395339,Shikine
20,OA,Porites,26.933,27.585,236,0.002762712,Shikine
21,OA,Porites,33.571,30.515,236,-0.012949153,Shikine
22,OA,Porites,44.69,46.173,236,0.006283898,Shikine
23,OA,Porites,44.065,41.92,236,-0.009088983,Shikine
24,OA,Porites,47.384,43.084,236,-0.018220339,Shikine
25,OA,Porites,45.233,41.028,236,-0.017817797,Shikine
26,OA,Porites,26.533,24.531,236,-0.008483051,Shikine
4C03,Pr,Acropora,8.511,10.352,111,0.016585586,Shimoda
4C02,OA,Acropora,14.682,18.341,111,0.032963964,Shimoda
4D03,OA,Acropora,8.09,9.875,111,0.016081081,Shimoda
4D02,Pr,Acropora,6.905,8.358,111,0.01309009,Shimoda
4A08,Pr,Acropora,12.858,15.133,111,0.020495495,Shimoda
4A07,Pr,Acropora,4.021,4.944,111,0.008315315,Shimoda
4A06,OA,Acropora,11.393,14.15,111,0.024837838,Shimoda
4A05,OA,Acropora,18.588,20.579,111,0.017936937,Shimoda
4A04,OA,Acropora,15.788,16.765,111,0.008801802,Shimoda
4A03,OA,Acropora,17.573,36.833,111,0.173513514,Shimoda
4A02,Pr,Acropora,19.911,33.351,111,0.121081081,Shimoda
4A01,Pr,Acropora,14.799,18.783,111,0.035891892,Shimoda
4B08,Pr,Acropora,4.133,5.15,111,0.009162162,Shimoda
4B07,OA,Acropora,14.441,16.177,111,0.01563964,Shimoda
4B06,OA,Acropora,13.656,14.977,111,0.011900901,Shimoda
4B05,Pr,Acropora,13.115,17.296,111,0.037666667,Shimoda
4B04,OA,Acropora,19.484,22.542,111,0.02754955,Shimoda
4B03,OA,Acropora,17.331,18.601,111,0.011441441,Shimoda
4B02,Pr,Acropora,14.606,17.372,111,0.024918919,Shimoda
4B01,Pr,Acropora,8.609,11.218,111,0.023504505,Shimoda
4C03,Pr,Porites,13.903,16.483,111,0.023243243,Shimoda
4C02,OA,Porites,4.65,5.672,111,0.009207207,Shimoda
4D03,OA,Porites,6.425,7.689,111,0.011387387,Shimoda
4D02,Pr,Porites,8.606,9.331,111,0.006531532,Shimoda
4A08,Pr,Porites,11.815,12.966,111,0.010369369,Shimoda
4A07,Pr,Porites,16.02,18.04,111,0.018198198,Shimoda
4A06,OA,Porites,11.073,13.434,111,0.02127027,Shimoda
4A05,OA,Porites,13.248,15.058,111,0.016306306,Shimoda
4A04,OA,Porites,16.479,18.436,111,0.017630631,Shimoda
4A03,OA,Porites,8.982,10.178,111,0.010774775,Shimoda
4A02,Pr,Porites,19.325,22.609,111,0.029585586,Shimoda
4A01,Pr,Porites,11.455,13.805,111,0.021171171,Shimoda
4B08,Pr,Porites,7.622,8.835,111,0.010927928,Shimoda
4B07,OA,Porites,11.715,14.245,111,0.022792793,Shimoda
4B06,OA,Porites,19.985,24.105,111,0.037117117,Shimoda
4B05,Pr,Porites,17.288,19.96,111,0.024072072,Shimoda
4B04,OA,Porites,19.715,24.879,111,0.046522523,Shimoda
4B03,OA,Porites,16.479,17.883,111,0.012648649,Shimoda
4B02,Pr,Porites,19.685,26.773,111,0.063855856,Shimoda
4B01,Pr,Porites,6.538,7.552,111,0.009135135,Shimoda
1_1A,Pr,Porites,16.71,16.901,31,0.00616129,Sesoko
1_1A,Pr,Acropora,22.046,23.74,31,0.054645161,Sesoko
2_1B,OA,Porites,35.921,36.063,31,0.004580645,Sesoko
2_1B,OA,Acropora,16.409,16.956,31,0.017645161,Sesoko
2_1C,Pr,Porites,19.105,18.808,31,-0.009580645,Sesoko
2_1C,Pr,Acropora,7.69,8.321,31,0.020354839,Sesoko
5_1D,OA,Porites,48.583,47.042,31,-0.049709677,Sesoko
5_1D,OA,Acropora,12.732,13.045,31,0.010096774,Sesoko
5_1E,Pr,Porites,34.94,36.637,31,0.054741935,Sesoko
5_1E,Pr,Acropora,13.196,13.388,31,0.006193548,Sesoko
1_2A,OA,Porites,17.034,17.907,31,0.02816129,Sesoko
1_2A,OA,Acropora,19.078,19.186,31,0.003483871,Sesoko
3_2B,OA,Porites,17.776,17.471,31,-0.00983871,Sesoko
3_2B,OA,Acropora,15.319,15.572,31,0.00816129,Sesoko
4_2C,OA,Porites,16.666,16.626,31,-0.001290323,Sesoko
4_2C,OA,Acropora,11.022,11.193,31,0.005516129,Sesoko
3_2D,Pr,Porites,34.66,34.054,31,-0.019548387,Sesoko
3_2D,Pr,Acropora,9.466,10.059,31,0.019129032,Sesoko
4_2E,Pr,Porites,14.202,14.093,31,-0.003516129,Sesoko
4_2E,Pr,Acropora,11.534,11.905,31,0.011967742,Sesoko
