,Treatment,Condition,Location,Depth,meanpH,sdpH,,,
1,Present-Day,Night-time,Coral Tissue,0,7.85,0.17,7.85 Å} 0.17,Å},
2,Present-Day,Night-time,Coral Tissue,10,7.866255269,0.174971219,,,
3,Present-Day,Night-time,Coral Tissue,20,7.887887315,0.175976441,,,
4,Present-Day,Night-time,Coral Tissue,30,7.902926463,0.171247177,,,
5,Present-Day,Night-time,Coral Tissue,40,7.915916836,0.168134818,,,
6,Present-Day,Night-time,Coral Tissue,50,7.926911666,0.168772364,,,
7,Present-Day,Night-time,Coral Tissue,60,7.928260972,0.165657364,,,
8,Present-Day,Night-time,Coral Tissue,70,7.932227598,0.162585624,,,
9,Present-Day,Night-time,Coral Tissue,80,7.933585192,0.159852481,,,
10,Present-Day,Night-time,Coral Tissue,90,7.944181957,0.156424382,,,
11,Present-Day,Night-time,Coral Tissue,100,7.951553259,0.154537896,,,
12,Present-Day,Night-time,Coral Tissue,110,7.955090149,0.149213047,,,
13,Present-Day,Night-time,Coral Tissue,120,7.961352353,0.14548819,,,
14,Present-Day,Night-time,Coral Tissue,130,7.9664561,0.14032568,,,
15,Present-Day,Night-time,Coral Tissue,140,7.972025823,0.133774743,,,
16,Present-Day,Night-time,Coral Tissue,150,7.97593596,0.127078119,,,
17,Present-Day,Night-time,Coral Tissue,160,7.978816772,0.12402233,,,
18,Present-Day,Night-time,Coral Tissue,170,7.983409312,0.121206076,,,
19,Present-Day,Night-time,Coral Tissue,180,7.987695053,0.114561956,,,
20,Present-Day,Night-time,Coral Tissue,190,7.989346528,0.10919156,,,
21,Present-Day,Night-time,Coral Tissue,200,7.989907562,0.106248497,,,
22,Present-Day,Night-time,Turf Algae,0,7.79,0.27,7.79 Å} 0.27,Å},
23,Present-Day,Night-time,Turf Algae,10,7.782971708,0.269068342,,,
24,Present-Day,Night-time,Turf Algae,20,7.794213224,0.26217449,,,
25,Present-Day,Night-time,Turf Algae,30,7.799943674,0.250747897,,,
26,Present-Day,Night-time,Turf Algae,40,7.811111975,0.246293623,,,
27,Present-Day,Night-time,Turf Algae,50,7.823408691,0.239207262,,,
28,Present-Day,Night-time,Turf Algae,60,7.833258816,0.233868619,,,
29,Present-Day,Night-time,Turf Algae,70,7.850487956,0.224906606,,,
30,Present-Day,Night-time,Turf Algae,80,7.860818036,0.216351092,,,
31,Present-Day,Night-time,Turf Algae,90,7.87526205,0.205527041,,,
32,Present-Day,Night-time,Turf Algae,100,7.889694699,0.19412575,,,
33,Present-Day,Night-time,Turf Algae,110,7.900778063,0.185486231,,,
34,Present-Day,Night-time,Turf Algae,120,7.910253295,0.181766998,,,
35,Present-Day,Night-time,Turf Algae,130,7.914811043,0.174823728,,,
36,Present-Day,Night-time,Turf Algae,140,7.923574774,0.164414755,,,
37,Present-Day,Night-time,Turf Algae,150,7.928959656,0.156428829,,,
38,Present-Day,Night-time,Turf Algae,160,7.935449052,0.147503906,,,
39,Present-Day,Night-time,Turf Algae,170,7.940557349,0.140335914,,,
40,Present-Day,Night-time,Turf Algae,180,7.941859532,0.136359951,,,
41,Present-Day,Night-time,Turf Algae,190,7.943127283,0.136401735,,,
42,Present-Day,Night-time,Turf Algae,200,7.941809166,0.133938627,,,
43,Present-Day,Day-time,Coral Tissue,0,8.25,0.16,8.25 Å} 0.16,Å},
44,Present-Day,Day-time,Coral Tissue,10,8.226337984,0.160027946,,,
45,Present-Day,Day-time,Coral Tissue,20,8.21186862,0.151601248,,,
46,Present-Day,Day-time,Coral Tissue,30,8.202273703,0.148374686,,,
47,Present-Day,Day-time,Coral Tissue,40,8.18870166,0.141057407,,,
48,Present-Day,Day-time,Coral Tissue,50,8.1692117,0.136473918,,,
49,Present-Day,Day-time,Coral Tissue,60,8.161058088,0.136847301,,,
50,Present-Day,Day-time,Coral Tissue,70,8.155836244,0.141900029,,,
51,Present-Day,Day-time,Coral Tissue,80,8.153766164,0.147878826,,,
52,Present-Day,Day-time,Coral Tissue,90,8.14702787,0.146411405,,,
53,Present-Day,Day-time,Coral Tissue,100,8.143365717,0.148136045,,,
54,Present-Day,Day-time,Coral Tissue,110,8.140379459,0.14782522,,,
55,Present-Day,Day-time,Coral Tissue,120,8.136280134,0.148336247,,,
56,Present-Day,Day-time,Coral Tissue,130,8.129657212,0.139168959,,,
57,Present-Day,Day-time,Coral Tissue,140,8.124349126,0.135079131,,,
58,Present-Day,Day-time,Coral Tissue,150,8.115393756,0.127000626,,,
59,Present-Day,Day-time,Coral Tissue,160,8.11316905,0.121775444,,,
60,Present-Day,Day-time,Coral Tissue,170,8.105988338,0.1138486,,,
61,Present-Day,Day-time,Coral Tissue,180,8.099591893,0.106934553,,,
62,Present-Day,Day-time,Coral Tissue,190,8.094422068,0.104182308,,,
63,Present-Day,Day-time,Coral Tissue,200,8.090495964,0.10145433,,,
64,Present-Day,Day-time,Turf Algae,0,8.41,0.27,8.41 Å} 0.27,Å},
65,Present-Day,Day-time,Turf Algae,10,8.403251001,0.244813171,,,
66,Present-Day,Day-time,Turf Algae,20,8.389898606,0.222658088,,,
67,Present-Day,Day-time,Turf Algae,30,8.37756426,0.206074536,,,
68,Present-Day,Day-time,Turf Algae,40,8.35815659,0.192814739,,,
69,Present-Day,Day-time,Turf Algae,50,8.335362303,0.177925249,,,
70,Present-Day,Day-time,Turf Algae,60,8.320682514,0.17513734,,,
71,Present-Day,Day-time,Turf Algae,70,8.311721273,0.175154974,,,
72,Present-Day,Day-time,Turf Algae,80,8.295425999,0.175062131,,,
73,Present-Day,Day-time,Turf Algae,90,8.292759208,0.177576924,,,
74,Present-Day,Day-time,Turf Algae,100,8.294391461,0.184061762,,,
75,Present-Day,Day-time,Turf Algae,110,8.279006112,0.176883229,,,
76,Present-Day,Day-time,Turf Algae,120,8.259523579,0.175409632,,,
77,Present-Day,Day-time,Turf Algae,130,8.2508455,0.176036008,,,
78,Present-Day,Day-time,Turf Algae,140,8.251307833,0.174930813,,,
79,Present-Day,Day-time,Turf Algae,150,8.241846788,0.17370731,,,
80,Present-Day,Day-time,Turf Algae,160,8.243359157,0.180839833,,,
81,Present-Day,Day-time,Turf Algae,170,8.235580075,0.185211383,,,
82,Present-Day,Day-time,Turf Algae,180,8.238387434,0.190540407,,,
83,Present-Day,Day-time,Turf Algae,190,8.240496047,0.194813839,,,
84,Present-Day,Day-time,Turf Algae,200,8.239941087,0.200279081,,,
85,Acidified (OA),Night-time,Coral Tissue,0,7.67,0.18,7.67 Å} 0.18,Å},
86,Acidified (OA),Night-time,Coral Tissue,10,7.678918097,0.174981794,,,
87,Acidified (OA),Night-time,Coral Tissue,20,7.683492078,0.167923918,,,
88,Acidified (OA),Night-time,Coral Tissue,30,7.688244528,0.165213427,,,
89,Acidified (OA),Night-time,Coral Tissue,40,7.698589113,0.160767612,,,
90,Acidified (OA),Night-time,Coral Tissue,50,7.708527936,0.161436602,,,
91,Acidified (OA),Night-time,Coral Tissue,60,7.719302231,0.162580674,,,
92,Acidified (OA),Night-time,Coral Tissue,70,7.731135183,0.164431376,,,
93,Acidified (OA),Night-time,Coral Tissue,80,7.740412023,0.162560655,,,
94,Acidified (OA),Night-time,Coral Tissue,90,7.74833099,0.16235649,,,
95,Acidified (OA),Night-time,Coral Tissue,100,7.750456704,0.161876315,,,
96,Acidified (OA),Night-time,Coral Tissue,110,7.757422182,0.160565772,,,
97,Acidified (OA),Night-time,Coral Tissue,120,7.765126758,0.163559683,,,
98,Acidified (OA),Night-time,Coral Tissue,130,7.77088009,0.162739102,,,
99,Acidified (OA),Night-time,Coral Tissue,140,7.771964895,0.163858267,,,
100,Acidified (OA),Night-time,Coral Tissue,150,7.777565744,0.165658712,,,
101,Acidified (OA),Night-time,Coral Tissue,160,7.777980089,0.163607087,,,
102,Acidified (OA),Night-time,Coral Tissue,170,7.780754884,0.164703509,,,
103,Acidified (OA),Night-time,Coral Tissue,180,7.784631968,0.16511968,,,
104,Acidified (OA),Night-time,Coral Tissue,190,7.783331527,0.163160748,,,
105,Acidified (OA),Night-time,Coral Tissue,200,7.786044015,0.163081912,,,
106,Acidified (OA),Night-time,Turf Algae,0,7.56,0.27,7.56 Å} 0.27,Å},
107,Acidified (OA),Night-time,Turf Algae,10,7.572430114,0.223067019,,,
108,Acidified (OA),Night-time,Turf Algae,20,7.597613235,0.170385398,,,
109,Acidified (OA),Night-time,Turf Algae,30,7.614604195,0.161290105,,,
110,Acidified (OA),Night-time,Turf Algae,40,7.625992318,0.18153077,,,
111,Acidified (OA),Night-time,Turf Algae,50,7.642101546,0.198904847,,,
112,Acidified (OA),Night-time,Turf Algae,60,7.658436755,0.187886494,,,
113,Acidified (OA),Night-time,Turf Algae,70,7.670364797,0.182664041,,,
114,Acidified (OA),Night-time,Turf Algae,80,7.678224524,0.18141151,,,
115,Acidified (OA),Night-time,Turf Algae,90,7.685613096,0.181184702,,,
116,Acidified (OA),Night-time,Turf Algae,100,7.691734691,0.176402496,,,
117,Acidified (OA),Night-time,Turf Algae,110,7.695977887,0.177922037,,,
118,Acidified (OA),Night-time,Turf Algae,120,7.698092719,0.180192856,,,
119,Acidified (OA),Night-time,Turf Algae,130,7.699666699,0.184443415,,,
120,Acidified (OA),Night-time,Turf Algae,140,7.701027036,0.189466563,,,
121,Acidified (OA),Night-time,Turf Algae,150,7.70174255,0.193541176,,,
122,Acidified (OA),Night-time,Turf Algae,160,7.703818897,0.194413044,,,
123,Acidified (OA),Night-time,Turf Algae,170,7.703038653,0.196338678,,,
124,Acidified (OA),Night-time,Turf Algae,180,7.704827408,0.197939412,,,
125,Acidified (OA),Night-time,Turf Algae,190,7.706828217,0.199027275,,,
126,Acidified (OA),Night-time,Turf Algae,200,7.707721114,0.200835453,,,
127,Acidified (OA),Day-time,Coral Tissue,0,8.12,0.21,8.12 Å} 0.21,Å},
128,Acidified (OA),Day-time,Coral Tissue,10,8.110391643,0.211005162,,,
129,Acidified (OA),Day-time,Coral Tissue,20,8.049181885,0.293800045,,,
130,Acidified (OA),Day-time,Coral Tissue,30,8.057497952,0.232160766,,,
131,Acidified (OA),Day-time,Coral Tissue,40,8.051907857,0.218325118,,,
132,Acidified (OA),Day-time,Coral Tissue,50,8.046182977,0.215834655,,,
133,Acidified (OA),Day-time,Coral Tissue,60,8.040141715,0.215180112,,,
134,Acidified (OA),Day-time,Coral Tissue,70,8.032561011,0.211748419,,,
135,Acidified (OA),Day-time,Coral Tissue,80,8.019958523,0.209434006,,,
136,Acidified (OA),Day-time,Coral Tissue,90,8.010668993,0.207903662,,,
137,Acidified (OA),Day-time,Coral Tissue,100,8.004897912,0.201144701,,,
138,Acidified (OA),Day-time,Coral Tissue,110,7.995477544,0.19263323,,,
139,Acidified (OA),Day-time,Coral Tissue,120,7.98865668,0.182428138,,,
140,Acidified (OA),Day-time,Coral Tissue,130,7.987162987,0.16886979,,,
141,Acidified (OA),Day-time,Coral Tissue,140,7.978183402,0.155627335,,,
142,Acidified (OA),Day-time,Coral Tissue,150,7.973976586,0.147866766,,,
143,Acidified (OA),Day-time,Coral Tissue,160,7.969453971,0.139292881,,,
144,Acidified (OA),Day-time,Coral Tissue,170,7.965067996,0.131803079,,,
145,Acidified (OA),Day-time,Coral Tissue,180,7.954755518,0.129297171,,,
146,Acidified (OA),Day-time,Coral Tissue,190,7.952417639,0.127236089,,,
147,Acidified (OA),Day-time,Coral Tissue,200,7.951556683,0.122849367,,,
148,Acidified (OA),Day-time,Turf Algae,0,8.38,0.41,8.38 Å} 0.41,Å},
149,Acidified (OA),Day-time,Turf Algae,10,8.374829988,0.400442755,,,
150,Acidified (OA),Day-time,Turf Algae,20,8.361513635,0.396244907,,,
151,Acidified (OA),Day-time,Turf Algae,30,8.345631003,0.386350566,,,
152,Acidified (OA),Day-time,Turf Algae,40,8.323128978,0.377144187,,,
153,Acidified (OA),Day-time,Turf Algae,50,8.300674776,0.367866323,,,
154,Acidified (OA),Day-time,Turf Algae,60,8.278373341,0.359311376,,,
155,Acidified (OA),Day-time,Turf Algae,70,8.250838061,0.351474571,,,
156,Acidified (OA),Day-time,Turf Algae,80,8.206758857,0.353448396,,,
157,Acidified (OA),Day-time,Turf Algae,90,8.173955679,0.342870534,,,
158,Acidified (OA),Day-time,Turf Algae,100,8.156460742,0.322568362,,,
159,Acidified (OA),Day-time,Turf Algae,110,8.143112262,0.316073434,,,
160,Acidified (OA),Day-time,Turf Algae,120,8.135446946,0.316916481,,,
161,Acidified (OA),Day-time,Turf Algae,130,8.1239869,0.315995339,,,
162,Acidified (OA),Day-time,Turf Algae,140,8.112705767,0.313147046,,,
163,Acidified (OA),Day-time,Turf Algae,150,8.104770998,0.312289719,,,
164,Acidified (OA),Day-time,Turf Algae,160,8.092217445,0.310274959,,,
165,Acidified (OA),Day-time,Turf Algae,170,8.082725922,0.304952069,,,
166,Acidified (OA),Day-time,Turf Algae,180,8.075904707,0.301114597,,,
167,Acidified (OA),Day-time,Turf Algae,190,8.069478432,0.296965928,,,
168,Acidified (OA),Day-time,Turf Algae,200,8.06135424,0.292981942,,,
